eval_demoted,original_split,train_promoted,CLC_codes
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2739_7100,val,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8871_5186,211
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4323_7520,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1752_2943,211
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4372_8317,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1823_6320,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9288_9572,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_10376_8346,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_10191_2685,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7933_10012,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_1367_3367,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8293_388,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_1921_1775,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7135_8904,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2167_2932,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10425_2595,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2558_3388,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3396_5006,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2560_2949,test,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_7996_10513,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_4530_999,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4662_4185,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5475_3372,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8506_5820,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7403_4051,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8968_2150,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7764_4440,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2822_586,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7772_1644,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_7290_6117,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8252_1918,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_629_2147,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8366_3018,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7902_9348,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8489_4285,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9725_6221,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8891_4394,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_4022_3767,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_1722_9545,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1428_4585,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2962_2150,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1540_7015,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4367_2370,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1691_5823,val,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8829_4390,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1938_8250,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1250_3119,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1958_8660,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1405_5463,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2919_7085,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_330_2366,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3088_5395,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1539_9185,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3259_7841,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_808_7460,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3635_9166,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7786_6237,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3671_9562,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4058_2982,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5149_4574,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5235_10075,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5341_7843,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_8253_8708,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5353_9180,val,S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_9245_1697,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6332_6661,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2919_5348,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6525_7829,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8425_7019,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6729_6648,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34UFU_5859_8506,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7602_7062,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9940_6726,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7629_9209,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_6345_9678,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7731_5852,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6312_9529,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7875_8286,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2250_9498,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8049_7845,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_10326_4781,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8060_3683,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_3593_9563,211
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7275_10139,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4407_4175,211
