eval_patch,eval_split,action,partner_patch,CLC_codes,distance_m,reason
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8060_3683,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_3593_9563,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2879_4789,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_1183_9238,"211, 231, 112",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_3045_5537,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4705_1769,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4345_1023,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5260_7086,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4472_7927,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_7963_8843,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4514_3578,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7012_3809,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6736_7863,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5558_2094,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7044_5549,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9866_1390,"231, 211",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8435_9160,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3355_7025,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_9569_7510,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8691_8468,211,,
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_7013_1182,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5420_998,211,,
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_8290_2781,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9667_5928,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1074_9189,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7634_10408,"211, 231, 121",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1239_5366,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_1069_4442,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1948_2842,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9396_7914,"311, 211",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2052_6133,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7963_2158,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2841_5720,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_5617_1254,"211, 231",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3258_7614,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_243_6548,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3260_663,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_4878_10326,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4295_4694,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6232_1650,"521, 411, 512",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4979_5679,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6530_3577,521,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5505_4629,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_9758_3611,521,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6417_2438,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7923_9957,411,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_8342_2094,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_10592_7836,411,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_997_6857,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7565_7096,"211, 231",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_6415_7673,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8888_6332,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_6800_8211,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_1632_1182,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9079_7417,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7028_2045,"411, 512",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9126_9839,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_9252_1308,"411, 512",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8128_2121,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TMM_9307_9569,311,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_1367_3367,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8293_388,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2167_2932,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10425_2595,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2558_3388,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3396_5006,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5475_3372,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8506_5820,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7403_4051,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8968_2150,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7772_1644,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_7290_6117,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8891_4394,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_4022_3767,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_2993_5650,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1422_2433,"311, 211, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_3857_9420,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2449_1361,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1819_4400,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_2211_5737,"312, 324, 322",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_4314_8956,val,resolved (swap),S2A_MSIL2A_20180809T090551_N0500_R050_T35TNN_2530_8562,311,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_7776_7880,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_1380_2967,"311, 231, 211, 243",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_7888_9720,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35TLM_8405_9607,"311, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_8296_8410,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_550_8314,"311, 231, 243",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_3958_3896,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_3386_1827,"311, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_6829_5051,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_1486_2531,"311, 231, 243",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34UGU_3088_9543,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8598_2159,"311, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_5726_7328,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1504_6243,"312, 324",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_8064_2293,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1780_7069,"312, 321, 324",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_9105_6921,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1445_5283,"312, 324",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8141_8944,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7801_7075,"211, 231, 512",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_9406_9766,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5898_1841,"211, 231, 112",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_1753_5803,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3451_5687,"211, 243",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2139_4979,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2469_7956,"211, 231",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3215_6512,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5758_5109,"211, 231",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9277_5344,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_6593_2649,311,,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TET_7375_6611,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6346_7877,"211, 231, 112",,
S2B_MSIL2A_20181010T090019_N0500_R007_T35TPJ_660_3354,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_903_5360,211,,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7389_10528,test,residual,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7275_10139,211,4042.7,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4398_7891,test,residual,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4372_8317,211,4273.8,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4398_7891,test,residual,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4323_7520,211,3783.8,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_9418_8327,test,residual,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8962_8343,311,4561.6,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9016_1001,test,residual,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9462_931,211,4519.9,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5868_4507,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,211,4112.8,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_512_3181,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_10108_3303,211,4196.8,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6380_6949,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6739_6885,211,3652.0,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7919_2979,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8419_2980,211,4994.1,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1058_9602,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,211,4841.1,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1737_9191,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,211,4737.8,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7470_6653,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7602_7062,211,4288.7,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7532_5513,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7731_5852,211,3912.4,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8471_7826,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8049_7845,211,4219.9,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4322_1422,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4345_1023,"211, 231",4011.4,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8028_9176,test,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8435_9160,211,4066.4,
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_6664_1115,test,residual,S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_7013_1182,211,3546.8,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3439_3942,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3854_4124,211,4500.1,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4388_3613,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4685_3240,"321, 211, 311",4805.4,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5448_3196,521,4201.2,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5263_2839,521,3609.3,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5659_2417,521,4042.5,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5814_3199,521,4240.9,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5783_3583,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5714_3927,521,3528.3,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5783_3583,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5814_3199,521,3868.6,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_583_7620,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,211,3983.0,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6761_2825,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6398_2810,"411, 512",3620.5,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1376_7989,211,4071.5,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,test,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,211,3684.2,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5026_3359,test,residual,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5475_3372,211,4486.5,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7716_1277,test,residual,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7772_1644,211,3706.9,
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7885_3038,test,residual,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7914_2681,"231, 312, 324",3592.8,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2061_2266,test,residual,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2079_2673,"211, 231, 112",4080.2,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2805_6663,val,residual,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2739_7100,211,4427.9,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8908_2811,val,residual,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8785_2407,211,4217.6,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4051_4527,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4395_4872,211,4842.0,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6275_4877,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,211,4353.9,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8598_2159,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8764_2528,"311, 231",4036.9,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3355_7025,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2919_7085,211,4403.9,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7786_6237,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7731_5852,211,3890.8,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7898_8677,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7875_8286,211,3922.7,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8596_3164,val,residual,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8804_3599,211,4809.0,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6167_3578,val,residual,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6153_3948,521,3716.0,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8110_2483,val,residual,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8128_2121,311,3628.7,
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7339_1057,val,residual,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_6943_1030,"312, 231",3959.1,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_6903_6140,val,residual,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_6897_5773,"311, 211, 112",3676.6,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4388_3613,test,unresolved,,"321, 211, 311",,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,unresolved,,521,,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5783_3583,test,unresolved,,521,,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_8899_1323,test,unresolved,,"411, 512",,no safe same-CLC replacement in train
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7885_3038,test,unresolved,,"231, 312, 324",,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6167_3578,val,unresolved,,521,,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6771_2420,val,unresolved,,"411, 512",,no safe same-CLC replacement in train
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7348_3213,val,unresolved,,"411, 512",,no safe same-CLC replacement in train
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7339_1057,val,unresolved,,"312, 231",,no safe same-CLC replacement in train
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_6903_6140,val,unresolved,,"311, 211, 112",,no safe same-CLC replacement in train
